,X995.1992,X1004.5175,X1168.5204,X1170.3841,X1172.2477,X1174.1114,X1175.9751,X1619.5283,X1623.2556,X1630.7103,X1686.6204,X1688.484,X1690.3477,X1692.2114,X1694.075,X1695.9387,X1697.8024,X1699.6661,X1701.5297,X1703.3934,X1705.2571,X1707.1207,X1708.9844,X1710.8481,X1712.7117,X1714.5754,X3363.9224,X3367.6497,X3375.1044,X3376.9681,X3397.4684,X3410.5141,X3412.3778,X3423.5598,X3434.7418,X3984.5241
17,0.20867600000000006,0.203765,0.055163,0.052212,0.049928,0.048103,0.046609,0.059865,0.061123,0.06158300000000001,0.041666,0.03963,0.038487,0.037165,0.035871,0.035764,0.035338,0.034879,0.035764,0.034723000000000004,0.034526,0.034908,0.034207999999999995,0.03329,0.032446,0.032353,0.07106900000000001,0.069952,0.06841900000000001,0.06726599999999999,0.064361,0.06105,0.0613,0.057972,0.057888,0.028412
18,0.168527,0.166976,0.053704,0.051205,0.049332,0.047914,0.046954,0.056565,0.056843,0.053608,0.034447000000000005,0.03397,0.033966,0.033224000000000004,0.033145,0.03373,0.033212,0.033047,0.032961000000000004,0.031315,0.031437,0.031214,0.030092,0.029512,0.029051,0.029152,0.056976,0.058204,0.056520000000000015,0.054558,0.053246,0.050232,0.050772000000000005,0.049219,0.04469,0.023396
19,0.099865,0.100352,0.031117,0.029796,0.028613,0.02764,0.026789,0.025483,0.025091,0.025075,0.016682,0.016594,0.016421,0.016221,0.01581,0.015566,0.015801,0.015928,0.015933000000000003,0.015927,0.016405,0.017143000000000002,0.017116,0.016761,0.016253999999999998,0.015648,0.026834,0.026631,0.027097000000000003,0.027012,0.025083,0.022259,0.021505,0.019016,0.019728,0.010573
20,0.409308,0.404022,0.043617,0.041466,0.039532,0.03806,0.036837,0.050799,0.05278,0.0535,0.032067,0.031189,0.030301,0.029258,0.028743,0.028677,0.027152,0.027188,0.026367,0.02519,0.025883,0.025198,0.024657,0.024483,0.02414,0.024177,0.065287,0.064087,0.062836,0.062382000000000014,0.058751,0.058657000000000015,0.057528,0.054691,0.053639,0.025979
21,0.198563,0.193167,0.053492999999999985,0.050521,0.048075,0.046158,0.044754,0.059466,0.06051,0.06298200000000001,0.043436,0.040986,0.039963,0.038464,0.036767,0.03689,0.036884,0.036348,0.038382,0.036282,0.035531,0.036582,0.035421,0.034518,0.033884,0.033501,0.066971,0.06921000000000001,0.067874,0.066755,0.064174,0.060128,0.060942,0.057652,0.05711,0.028861
22,0.379928,0.367984,0.047388,0.038999,0.032257,0.027122000000000004,0.023281,-0.054949,-0.05955700000000001,-0.068127,-0.031564,-0.03074,-0.029334,-0.027819,-0.026486000000000003,-0.023549,-0.020743,-0.019163,-0.015728,-0.014975,-0.013468,-0.010827,-0.009145,-0.007905,-0.006573999999999999,-0.00445,-0.16209,-0.161429,-0.159775,-0.15987300000000002,-0.153145,-0.144992,-0.144096,-0.136217,-0.128528,0.023065
23,0.228778,0.224905,0.055057,0.051391,0.048437,0.046158,0.044458,0.051844000000000015,0.051906,0.051280999999999986,0.038611,0.037478,0.03711,0.036407,0.03568,0.036026,0.036057,0.036196,0.037575,0.036879,0.037027,0.03767,0.036966000000000006,0.03623,0.035689,0.03568,0.075926,0.076272,0.073293,0.073763,0.070242,0.06566799999999999,0.06763200000000001,0.062211,0.06075,0.033135000000000005
24,0.315328,0.308578,0.08723,0.082911,0.078952,0.07513,0.072128,0.091737,0.094042,0.091511,0.058375,0.05630900000000001,0.055544,0.053964,0.05252,0.052939,0.052604999999999985,0.053201,0.055567999999999985,0.054399,0.055613,0.057254999999999986,0.057106,0.056347,0.054742999999999986,0.053708000000000006,0.114764,0.11496,0.112417,0.112779,0.103949,0.099182,0.097538,0.093734,0.088224,0.034361
25,0.251128,0.245693,0.06844299999999999,0.06496,0.062093,0.059804,0.057924,0.06371900000000001,0.0647,0.067341,0.043669,0.041452,0.040392,0.038645,0.036398,0.035454,0.035398,0.034488,0.036082,0.034739,0.033558,0.033887,0.032745,0.031678,0.03072,0.030294,0.079964,0.079748,0.078686,0.078625,0.074263,0.070658,0.070744,0.06636,0.063363,0.025576
26,0.183553,0.182326,0.052471,0.050017,0.047747000000000005,0.045634,0.043973000000000005,0.047936,0.048321,0.047405,0.031702,0.030049,0.029154000000000006,0.028534,0.027723,0.027636,0.027836,0.027715,0.029138,0.02807,0.027725,0.028549,0.028112,0.02746,0.026719,0.02654,0.068748,0.067849,0.067913,0.068037,0.062441,0.060565,0.058677,0.057354,0.052892,0.020095
