"","X730.5582","X732.4219","X734.2856","X736.1492","X738.0129","X739.8766","X741.7402","X743.6039","X745.4676","X747.3312","X749.1949","X751.0586","X752.9222","X754.7859","X756.6496","X758.5132","X760.3769","X762.2406","X764.1043","X765.9679","X767.8316","X769.6953","X771.5589","X773.4226","X775.2863","X777.1499","X779.0136","X818.1507","X820.0143","X829.3327","X831.1963","X833.06","X836.7873","X838.651","X840.5147","X842.3784","X844.242","X846.1057","X847.9694","X849.833","X851.6967","X853.5604","X855.424","X920.6524","X922.5161","X924.3798","X926.2435","X928.1071","X929.9708","X931.8345","X933.6981","X944.8801","X948.6075","X1092.11","X1093.9737","X1539.3905","X1600.8916","X1602.7553","X1604.6189","X1608.3463","X1610.2099","X1612.0736","X1613.9373"
"11","0.078677","0.08011599999999999","0.080666","0.080553","0.080631","0.080971","0.082237","0.083957","0.08501900000000001","0.085458","0.084435","0.08225199999999999","0.081562","0.082367","0.08205599999999999","0.08124400000000001","0.081166","0.081207","0.080559","0.079498","0.079205","0.0791","0.07873","0.07817400000000001","0.07760299999999999","0.077209","0.075315","0.040671","0.040608","0.040967","0.041225","0.041617","0.040606","0.040633","0.041157","0.041142000000000005","0.040947","0.041174","0.041763","0.04225","0.042529","0.042918","0.043404000000000005","0.052999","0.052773","0.051599","0.050785","0.051217","0.051951","0.052743","0.053691","0.055761","0.056446","0.092239","0.090643","0.018411","0.022814","0.022997","0.023233","0.023921","0.024266","0.024214","0.024042"
"12","0.0247065525111981","0.025230566066112","0.0266077379814101","0.0264265075512269","0.026034445795639","0.0268136258989925","0.0273226200880385","0.0273037768639866","0.0259907998103586","0.024971728376192003","0.0243458009011748","0.0248033187804714","0.0244221319909542","0.0242018743144321","0.0252892017199904","0.0253081891333796","0.0255747414886267","0.0253990469546685","0.024722615663812","0.0237531829480068","0.0237795824338724","0.0248656600109934","0.0250726925940901","0.0256450624107655","0.0253962472971466","0.0244305861464464","0.0244033448520506","0.0232196761156999","0.0235206253729706","0.0244885882054407","0.0232194983661073","0.0235201573371473","0.0245606135043959","0.022231066754663","0.0214232992183733","0.024117454189184","0.0254445270793967","0.0244828905234096","0.0235078123431642","0.0220154172808783","0.0234850551038096","0.0234011569056936","0.0235705971001295","0.021007272481851","0.0208296445048914","0.0211716816707458","0.0210672353383158","0.0215177667955848","0.0223992073625469","0.0219197253598596","0.022248976798213","0.019320548211149","0.0205748068876608","0.0308423773547842","0.0317222720807019","0.0877625672834905","0.0692038155893569","0.0685033245722872","0.0682004403484933","0.0670018715093922","0.0660531807901082","0.0663213609527729","0.0663724782625733"
"13","0.076101","0.076861","0.077783","0.078153","0.078111","0.079084","0.081347","0.082812","0.082852","0.08261900000000001","0.08201900000000001","0.07988300000000001","0.078526","0.07893700000000001","0.079712","0.08074400000000001","0.080661","0.079217","0.078791","0.07913099999999999","0.078815","0.078624","0.078886","0.079308","0.079063","0.078166","0.076193","0.045723","0.046074","0.04751","0.048206","0.04914","0.048791","0.04861","0.049142","0.049713","0.050276","0.050929","0.051547","0.052264","0.053246","0.054307000000000015","0.055304999999999986","0.079819","0.08025499999999999","0.079996","0.079791","0.08025299999999999","0.081403","0.082995","0.08451399999999999","0.090377","0.091915","0.093277","0.092391","0.020016","0.021581","0.021918","0.021966","0.022363","0.022315","0.022091","0.022182"
"14","0.209081","0.209309","0.209243","0.210056","0.20985","0.20916","0.211536","0.21505700000000005","0.216165","0.216112","0.214808","0.21207","0.211273","0.211338","0.211023","0.211142","0.210547","0.208929","0.207904","0.207097","0.205458","0.203691","0.20219","0.200182","0.198049","0.195627","0.191474","0.118172","0.117461","0.118001","0.118723","0.119744","0.11893","0.118283","0.118471","0.118973","0.120407","0.12235","0.123766","0.124764","0.125403","0.126","0.126882","0.17394","0.173007","0.169329","0.166153","0.16581700000000002","0.16751300000000002","0.170049","0.172701","0.181778","0.183195","0.255322","0.25108800000000003","0.054708000000000014","0.06331200000000001","0.064112","0.064572","0.066341","0.067413","0.06766699999999999","0.067663"
"15","0.111358","0.111995","0.11291","0.113043","0.11263","0.113208","0.114416","0.116131","0.117771","0.119258","0.11946099999999997","0.116727","0.114511","0.114408","0.114884","0.114906","0.114269","0.114242","0.114048","0.112998","0.111958","0.111244","0.110906","0.110242","0.109582","0.108607","0.105941","0.06100700000000001","0.061299","0.062025","0.062601","0.0636","0.063061","0.062146000000000014","0.06233200000000001","0.06312000000000001","0.063431","0.063579","0.06414299999999999","0.064792","0.065506","0.066089","0.066637","0.084393","0.084133","0.08288200000000001","0.081934","0.08223899999999999","0.083357","0.08465800000000001","0.085893","0.089992","0.09112","0.132758","0.13080999999999998","0.030197","0.035639","0.035584","0.035675","0.036807","0.037507","0.037334","0.037179"
"16","0.066026","0.066637","0.067199","0.06751499999999999","0.067501","0.067687","0.067558","0.06876399999999999","0.070386","0.070823","0.070065","0.06881699999999999","0.068135","0.068496","0.069075","0.068382","0.067789","0.067513","0.067165","0.067124","0.066861","0.066973","0.067072","0.066807","0.06744700000000001","0.067537","0.06515900000000001","0.036834","0.035943","0.036336","0.036739","0.036951","0.036619","0.036575","0.036834","0.036883","0.036892","0.037513","0.038107","0.038027","0.038138","0.038555","0.038705","0.050427","0.049872","0.048692","0.047803","0.0477","0.048162","0.048936","0.049834","0.053165","0.053479999999999986","0.087482","0.087548","0.018297","0.021019","0.021191","0.021262","0.021013","0.021546","0.021348","0.021168"
"17","0.10651","0.106571","0.106497","0.107337","0.109147","0.10913699999999997","0.109651","0.112372","0.113876","0.11411","0.11384","0.112692","0.112519","0.112734","0.112583","0.112547","0.113376","0.113456","0.112637","0.112166","0.111006","0.110045","0.10917","0.107877","0.106648","0.105749","0.10309","0.06069500000000001","0.060461","0.06224800000000001","0.063029","0.063817","0.064466","0.064591","0.064651","0.065177","0.065816","0.06640499999999999","0.06725","0.067701","0.06815399999999999","0.06927","0.070226","0.088547","0.088564","0.087897","0.08703999999999999","0.087141","0.08796699999999999","0.088739","0.089421","0.091803","0.093443","0.129849","0.127853","0.026323000000000003","0.033527999999999995","0.033634","0.033544","0.033394","0.033807","0.033584","0.033256"
"18","0.118419","0.11913","0.119907","0.120829","0.12239","0.122894","0.124713","0.12805","0.128521","0.127932","0.128005","0.126409","0.124629","0.124674","0.124784","0.124551","0.124884","0.124778","0.12424","0.123633","0.123006","0.122648","0.122946","0.123168","0.122681","0.121865","0.119624","0.07025","0.070116","0.072676","0.073271","0.074446","0.074737","0.074512","0.075252","0.075934","0.076882","0.078297","0.079414","0.080178","0.08088300000000001","0.082006","0.08341900000000001","0.122157","0.122522","0.121958","0.121548","0.122786","0.124882","0.127132","0.12959","0.140069","0.142298","0.147844","0.1453","0.028562","0.033751","0.033814","0.033905000000000005","0.034539999999999994","0.035122","0.035038","0.034664"
"19","0.045499","0.046005","0.046671","0.046778","0.047317000000000005","0.047787","0.048567","0.049376","0.048645","0.047856","0.04787","0.047884","0.04758","0.046818","0.046919","0.04705","0.046735000000000006","0.046608","0.046374","0.045752","0.045435","0.045633","0.045632","0.045661","0.045608","0.045491","0.044984","0.0257","0.025683","0.025086","0.025509","0.025726","0.025675","0.02593","0.026083","0.025698","0.025815","0.026445","0.026859","0.026701","0.026338","0.026128","0.026319","0.033171","0.032943","0.032263","0.031698000000000004","0.031729","0.031791","0.032012","0.032993","0.034979","0.034776","0.056832000000000014","0.056591","0.012253","0.013799","0.013822","0.013629","0.013887","0.013806","0.013984","0.014224"
"20","0.100318","0.100869","0.101598","0.101732","0.101547","0.101941","0.103998","0.106197","0.107242","0.108292","0.10718","0.103829","0.102051","0.102215","0.102809","0.102766","0.101662","0.100683","0.100291","0.100062","0.100429","0.10097","0.100793","0.099728","0.098693","0.098015","0.095692","0.047757","0.047374","0.046891","0.046974","0.047906","0.047215","0.046422000000000005","0.046772","0.047098","0.04697","0.047141","0.047407","0.047949","0.048563","0.049253","0.050278","0.063553","0.063048","0.06133","0.059977","0.06007000000000001","0.060902","0.062212","0.06368","0.068326","0.068319","0.123375","0.12159","0.022226","0.027401","0.027376","0.02746","0.027264","0.027187","0.0272","0.027177"
